"","log2FoldChange","padj","Factor"
"ko:K02971",-0.732349264203484,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K02973",0.987942432759068,0.94939654405348,"Menthol_Menthol_vs_Control"
"ko:K02975",-0.982489730815492,0.85543053598594,"Menthol_Menthol_vs_Control"
"ko:K02976",-1.34505404780054,0.836505044287531,"Menthol_Menthol_vs_Control"
"ko:K02978",-0.582468902394545,0.722471199733106,"Menthol_Menthol_vs_Control"
"ko:K02980",-1.08249492254562,0.556193428272909,"Menthol_Menthol_vs_Control"
"ko:K02981",-1.10562558082811,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K02983",0.338900186490609,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K02984",0.717861145665184,0.832007633248197,"Menthol_Menthol_vs_Control"
"ko:K02985",-0.151372723357678,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K02987",0.794338522154324,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K02991",-0.16506373696741,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K02992",-0.371509837010859,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K02993",-0.720225944739006,0.244009752808155,"Menthol_Menthol_vs_Control"
"ko:K02995",0.045764990561163,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K03007",-0.714738589478912,0.959547978287115,"Menthol_Menthol_vs_Control"
"ko:K03008",0.736157221665368,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K03012",-0.00196710675956122,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K03015",0.489622443797895,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K03017",0.0619988882825804,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K03031",-0.0882862207525383,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K03038",-0.511708118489799,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K03065",-0.194618663136128,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K03083",-0.063520504759341,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K03113",-0.15543287733407,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K03123",1.0136056469465,0.959547978287115,"Menthol_Menthol_vs_Control"
"ko:K03231",1.19967396269622,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K03232",-2.01798446687857,0.308134612661813,"Menthol_Menthol_vs_Control"
"ko:K03233",-0.0644899548132266,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K03234",0.825288951595014,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K03236",-0.870772931862505,0.400641039730368,"Menthol_Menthol_vs_Control"
"ko:K03246",-0.0830237269342376,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K03247",-0.0465574808518227,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K03263",-0.279255062650682,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K03283",-0.363907776466251,0.836505044287531,"Menthol_Menthol_vs_Control"
"ko:K03521",0.118167975132336,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K03522",-0.783530595138768,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K03626",0.0366874942997131,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K03627",-0.421425579769441,0.995446150176001,"Menthol_Menthol_vs_Control"
"ko:K03661",-1.62982403440224,0.706538405627617,"Menthol_Menthol_vs_Control"
"ko:K03872",0.302904033475669,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K03873",-0.229059824315793,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K03936",0.192907522377815,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K03942",0.275254027090826,0.995446150176001,"Menthol_Menthol_vs_Control"
"ko:K03943",0.781021236532504,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K04043",0.155691046268176,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K04079",-0.0222409854618865,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K04345",0.771723639858851,0.959547978287115,"Menthol_Menthol_vs_Control"
"ko:K04348",1.41637203009153,0.836505044287531,"Menthol_Menthol_vs_Control"
"ko:K04354",-1.78970332636179,0.089170860259466,"Menthol_Menthol_vs_Control"
"ko:K04364",-0.610603793222106,0.921337667325103,"Menthol_Menthol_vs_Control"
"ko:K04369",-1.08390882165805,0.832007633248197,"Menthol_Menthol_vs_Control"
"ko:K04370",-0.144358100521263,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K04371",-0.433374957273193,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K04393",-0.325562982236464,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K04444",-1.04441428171585,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K04456",-0.53875721774053,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K04503",-0.0894503944695187,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K04536",-0.521586049370395,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K04552",0.27158929757033,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K04567",0.0304785343401228,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K04635",-1.06005641958024,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K04712",-0.250528177547705,0.988420279192979,"Menthol_Menthol_vs_Control"
"ko:K05754",-0.233048339643712,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K05755",0.572371020171492,0.959547978287115,"Menthol_Menthol_vs_Control"
"ko:K05757",0.00687875582043851,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K05758",-0.345400039140823,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K05759",-0.62477563600068,0.722471199733106,"Menthol_Menthol_vs_Control"
"ko:K06685",0.497536211117034,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K06689",-0.28727928260366,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K06704",0.345231019090453,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K07151",-0.195029918596949,0.921772190672373,"Menthol_Menthol_vs_Control"
"ko:K07192",0.0203127305827582,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K07205",-0.665051723295355,0.836505044287531,"Menthol_Menthol_vs_Control"
"ko:K07342",-0.174241670392592,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K07375",-0.0644560046004461,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K07509",0.0233298931764613,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K07827",0.330727046948649,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K07874",0.303636557312793,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K07887",-0.0208696487546906,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K07890",1.0385891893062,0.244009752808155,"Menthol_Menthol_vs_Control"
"ko:K07891",-0.836247366414708,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K07893",-1.28597219010095,0.884068956121065,"Menthol_Menthol_vs_Control"
"ko:K07901",-0.474945050413787,0.836505044287531,"Menthol_Menthol_vs_Control"
"ko:K07918",-1.1890158303024,0.827885710649688,"Menthol_Menthol_vs_Control"
"ko:K07936",0.432219411178441,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K07937",-0.0677622081573374,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K07952",-0.0987893625172313,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K07976",0.492553627320762,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K08056",0.547413955397435,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K08341",0.680635841674206,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K08548",0.225242961196235,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K08764",1.24290251820534,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K08870",-0.0214395328292333,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K08872",0.464722850104749,0.989930995816197,"Menthol_Menthol_vs_Control"
"ko:K08957",0.908898844302443,0.85543053598594,"Menthol_Menthol_vs_Control"
"ko:K09022",-0.410671537235437,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K09398",0.655661880333799,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K09481",-0.00239096981888574,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K09490",1.18063433675423,0.836505044287531,"Menthol_Menthol_vs_Control"
"ko:K09567",-0.977689730984822,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K09568",0.327546889028373,0.99216739448942,"Menthol_Menthol_vs_Control"
"ko:K09569",1.77885554039795,0.244009752808155,"Menthol_Menthol_vs_Control"
"ko:K09580",0.0486539744698057,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K09584",0.211017668153519,0.836505044287531,"Menthol_Menthol_vs_Control"
"ko:K09595",-0.830489698532287,0.509111529241625,"Menthol_Menthol_vs_Control"
"ko:K10364",0.538384644485183,0.722471199733106,"Menthol_Menthol_vs_Control"
"ko:K10365",-0.0377153016938278,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K10418",0.427947753985986,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K10419",0.151978193438356,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K10420",-0.0345392324533686,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K10435",-0.0781133730343968,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K10573",0.952842214601932,0.836505044287531,"Menthol_Menthol_vs_Control"
"ko:K10575",-0.411086490674107,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K10577",-1.20421398994275,0.959547978287115,"Menthol_Menthol_vs_Control"
"ko:K10580",-0.150885192440226,0.989930995816197,"Menthol_Menthol_vs_Control"
"ko:K10582",-0.121707957829235,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K10583",-0.865739311610232,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K10688",-1.52679559372396,0.836505044287531,"Menthol_Menthol_vs_Control"
"ko:K10704",-0.119742210093396,0.995446150176001,"Menthol_Menthol_vs_Control"
"ko:K10949",0.60842957927497,0.967087376158991,"Menthol_Menthol_vs_Control"
